,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),KLOGH (MD)
133,3686.8608,0.104154,0.0,0.0,0.2118199999999999,0.8,2.66,0.0215652,0.0,0.4917,113.2079,0.699224,0.0
134,3687.0132,0.101001,0.0,0.0,0.186659,0.8,2.66,0.0215646,0.0,0.5411,113.2115,0.699979,0.0
135,3687.1656,0.1045859999999999,0.0,0.0,0.217084,0.8,2.66,0.021564,0.0,0.4818,113.2151,0.700735,0.0
136,3687.318,0.105842,0.0,0.0,0.237554,0.8,2.66,0.0215634,0.0,0.4455,113.2187,0.70149,0.0
137,3687.4704,0.10354,0.0,0.0,0.229066,0.8,2.66,0.0215629,0.0,0.452,113.2224,0.702245,0.0
138,3687.6228,0.102392,0.0,0.0,0.225819,0.8,2.66,0.0215623,0.0,0.4534,113.226,0.703,0.0
139,3687.7752,0.1005559999999999,0.0,0.0,0.212954,0.8,2.66,0.0215617,0.0,0.4722,113.2296,0.703755,0.0
140,3687.9276,0.100896,0.0,0.0,0.215045,0.8,2.66,0.0215611,0.0,0.4692,113.2332,0.7045100000000001,0.0
141,3688.08,0.100856,0.0,0.0,0.213983,0.8,2.66,0.0215605,0.0,0.4713,113.2368,0.7052649999999999,0.0
142,3688.2324,0.100273,0.0,0.0,0.210765,0.8,2.66,0.02156,0.0,0.4758,113.2405,0.70602,0.0
143,3688.3848,0.099471,0.0,0.0,0.208611,0.8,2.66,0.0215594,0.0,0.4768,113.2441,0.706775,0.0
144,3688.5372,0.099553,0.0,0.0,0.214493,0.8,2.66,0.0215588,0.0,0.4641,113.2477,0.70753,0.0
145,3688.6896,0.097448,0.0,0.0,0.201664,0.8,2.66,0.0215582,0.0,0.4832,113.2513,0.708285,0.0
146,3688.842,0.102337,0.0,0.0,0.242848,0.8,2.66,0.0215577,0.0,0.4214,113.2549,0.70904,0.0
147,3688.9944,0.096312,0.0,0.0,0.193743,0.8,2.66,0.0215571,0.0,0.4971,113.2586,0.709795,0.0
148,3689.1468,0.097964,0.0,0.0,0.206936,0.8,2.66,0.0215565,0.0,0.4734,113.2622,0.71055,0.0
149,3689.2992,0.095526,0.0,0.0,0.189853,0.8,2.66,0.0215559,0.0,0.5032,113.2658,0.711306,0.0
150,3689.4516,0.09171,0.0,0.0,0.164616,0.8,2.66,0.0215553,0.0,0.5571,113.2694,0.7120609999999999,0.0
151,3689.604,0.094378,0.0,0.0,0.18433,0.8,2.66,0.0215548,0.0,0.512,113.273,0.712816,0.0
152,3689.7564,0.096312,0.0,0.0,0.199939,0.8,2.66,0.0215542,0.0,0.4817,113.2767,0.713571,0.0
153,3689.9088,0.097209,0.0,0.0,0.208033,0.8,2.66,0.0215535999999999,0.0,0.4673,113.2803,0.714326,0.0
154,3690.0612,0.099021,0.0,0.0,0.225737,0.8,2.66,0.021553,0.0,0.4387,113.2839,0.7150810000000001,0.0
155,3690.2136,0.095187,0.0,0.0,0.1990309999999999,0.8,2.66,0.0215524,0.0,0.4783,113.2875,0.7158359999999999,0.0
156,3690.366,0.099415,0.0,0.0,0.238553,0.8,2.66,0.0215519,0.0,0.4167,113.2911,0.716591,0.0
157,3690.5184,0.092571,0.0,0.0,0.185158,0.8,2.66,0.0215513,0.0,0.5,113.2948,0.717346,0.0
158,3690.6708,0.09266,0.0,0.0,0.1854819999999999,0.8,2.66,0.0215507,0.0,0.4996,113.2984,0.718101,0.0
159,3690.8232,0.090088,0.0,0.0,0.163528,0.8,2.66,0.0215501,0.0,0.5509,113.302,0.718856,0.0
160,3690.9756,0.094049,0.0,0.0,0.184326,0.8,2.66,0.0215495,0.0,0.5102,113.3056,0.719611,0.0
161,3691.128,0.093096,0.0,0.0,0.171021,0.8,2.66,0.021549,0.0,0.5444,113.3092,0.720366,0.0
162,3691.2804,0.096301,0.0,0.0,0.191317,0.8,2.66,0.0215484,0.0,0.5034,113.3128,0.721121,0.0
163,3691.4328,0.097119,0.0,0.0,0.198895,0.8,2.66,0.0215478,0.0,0.4883,113.3165,0.721877,0.0
164,3691.5852,0.0953519999999999,0.0,0.0,0.1876789999999999,0.8,2.66,0.0215472,0.0,0.5081,113.3201,0.7226319999999999,0.0
165,3691.7376,0.096782,0.0,0.0,0.199416,0.8,2.66,0.0215467,0.0,0.4853,113.3237,0.723387,0.0
166,3691.89,0.098372,0.0,0.0,0.21285,0.8,2.66,0.0215461,0.0,0.4622,113.3273,0.724142,0.0
167,3692.0424,0.112664,0.0,0.0,0.3564219999999999,0.8,2.66,0.0215455,0.0,0.3161,113.3309,0.724897,0.0
168,3692.1948,0.098058,0.0,0.0,0.216684,0.8,2.66,0.0215449,0.0,0.4525,113.3345,0.7256519999999999,0.0
169,3692.3472,0.089711,0.0,0.0,0.1582929999999999,0.8,2.66,0.0215443,0.0,0.5667,113.3382,0.726407,0.0
170,3692.4996,0.09562,0.0,0.0,0.203584,0.8,2.66,0.0215438,0.0,0.4697,113.3418,0.7271619999999999,0.0
171,3692.652,0.095634,0.0,0.0,0.2064409999999999,0.8,2.66,0.0215432,0.0,0.4633,113.3454,0.727917,0.0
172,3692.8044,0.096263,0.0,0.0,0.212878,0.8,2.66,0.0215426,0.0,0.4522,113.349,0.728672,0.0
